column,selected,seen,scheme_name,label_key,value,concept_uri,pref_label,broader_uri,depth,n_children,is_leaf
k_health-outcomes_sub_a|4,0,2,Health - Outcomes,k_health-outcomes_sub_a,4,https://vocab.destiny-evidence.org/health-outcomes/DSNY000370,Nutritional deficiencies,https://vocab.destiny-evidence.org/health-outcomes/DSNY000314,2,6,False
k_health-outcomes_sub_a_sub|0,0,0,Health - Outcomes,k_health-outcomes_sub_a_sub,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000325,Diarrheal diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000324,3,1,False
k_health-outcomes_sub_a_sub|1,0,0,Health - Outcomes,k_health-outcomes_sub_a_sub,1,https://vocab.destiny-evidence.org/health-outcomes/DSNY000328,Invasive Non-typhoidal Salmonella (iNTS),https://vocab.destiny-evidence.org/health-outcomes/DSNY000324,3,0,True
k_health-outcomes_sub_a_sub|2,0,0,Health - Outcomes,k_health-outcomes_sub_a_sub,2,https://vocab.destiny-evidence.org/health-outcomes/DSNY000327,Typhoid and paratyphoid,https://vocab.destiny-evidence.org/health-outcomes/DSNY000324,3,0,True
k_health-outcomes_sub_a_sub|3,0,0,Health - Outcomes,k_health-outcomes_sub_a_sub,3,https://vocab.destiny-evidence.org/health-outcomes/DSNY000329,Z_Other intestinal infectious diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000324,3,0,True
k_health-outcomes_sub_a_sub_sub|0,0,0,Health - Outcomes,k_health-outcomes_sub_a_sub_sub,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000326,Cholera,https://vocab.destiny-evidence.org/health-outcomes/DSNY000325,4,0,True
k_health-outcomes_sub_b_sub_d|1,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_d,1,https://vocab.destiny-evidence.org/health-outcomes/DSNY000430,Attention-deficit/hyperactivity disorder,https://vocab.destiny-evidence.org/health-outcomes/DSNY000423,3,0,True
k_health-outcomes_sub_b_sub_d|2,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_d,2,https://vocab.destiny-evidence.org/health-outcomes/DSNY000429,Autism spectrum disorders,https://vocab.destiny-evidence.org/health-outcomes/DSNY000423,3,0,True
k_health-outcomes_sub_b_sub_d|3,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_d,3,https://vocab.destiny-evidence.org/health-outcomes/DSNY000426,Bipolar disorder,https://vocab.destiny-evidence.org/health-outcomes/DSNY000423,3,0,True
k_health-outcomes_sub_b_sub_f|1,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_f,1,https://vocab.destiny-evidence.org/health-outcomes/DSNY000421,Headache disorders,https://vocab.destiny-evidence.org/health-outcomes/DSNY000415,3,0,True
